rule,K-emo_ext_confidence,K-emo_ext_lift,K-emo_ext_support,K-emo_ext_count,EMBOA_confidence,EMBOA_lift,EMBOA_support,EMBOA_count,avg_confidence,avg_lift,min_confidence,min_lift,avg_support,min_support
valence_medium meets arousal_medium AND valence_medium meets eda_max_high AND arousal_medium equals eda_max_high => valence_medium meets arousal_medium AND valence_medium meets eda_max_high AND valence_medium meets valence_medium AND arousal_medium equals eda_max_high AND arousal_medium equals valence_medium AND eda_max_high equals valence_medium,1.0,1.0,0.1429,4,1.0,1.0,0.25,4,1.0,1.0,1.0,1.0,0.1964,0.1429
valence_low meets valence_medium AND valence_low before eda_max_medium AND valence_medium meets eda_max_medium => valence_low meets valence_medium AND valence_low before eda_max_medium AND valence_low before valence_medium AND valence_medium meets eda_max_medium AND valence_medium meets valence_medium AND eda_max_medium equals valence_medium,1.0,1.0,0.0714,2,1.0,1.0,0.0625,1,1.0,1.0,1.0,1.0,0.067,0.0625
valence_low before eda_medium AND valence_low before eda_std_low AND eda_medium equals eda_std_low => valence_low before eda_medium AND valence_low before eda_std_low AND valence_low before valence_medium AND eda_medium equals eda_std_low AND eda_medium equals valence_medium AND eda_std_low equals valence_medium,1.0,1.0,0.0714,2,1.0,1.0,0.0625,1,1.0,1.0,1.0,1.0,0.067,0.0625
hr_medium meets hr_low AND hr_medium before hr_low AND hr_low meets hr_low => hr_medium meets hr_low AND hr_medium before hr_low AND hr_medium before valence_medium AND hr_low meets hr_low AND hr_low meets valence_medium AND hr_low equals valence_medium,1.0,1.0,0.0714,2,1.0,1.0,0.1875,3,1.0,1.0,1.0,1.0,0.1295,0.0714
eda_std_medium meets hr_medium AND eda_std_medium before hr_medium AND hr_medium meets hr_medium => eda_std_medium meets hr_medium AND eda_std_medium before hr_medium AND eda_std_medium before valence_medium AND hr_medium meets hr_medium AND hr_medium meets valence_medium AND hr_medium starts valence_medium,1.0,1.0,0.0714,2,1.0,1.0,0.3125,5,1.0,1.0,1.0,1.0,0.192,0.0714
eda_std_low equals hr_high AND eda_std_low meets eda_max_high AND hr_high meets eda_max_high => eda_std_low equals hr_high AND eda_std_low meets eda_max_high AND eda_std_low meets valence_medium AND hr_high meets eda_max_high AND hr_high meets valence_medium AND eda_max_high equals valence_medium,1.0,1.0,0.0714,2,1.0,1.0,0.0625,1,1.0,1.0,1.0,1.0,0.067,0.0625
eda_max_low meets eda_max_medium AND eda_max_low before eda_max_medium AND eda_max_medium meets eda_max_medium => eda_max_low meets eda_max_medium AND eda_max_low before eda_max_medium AND eda_max_low before valence_medium AND eda_max_medium meets eda_max_medium AND eda_max_medium meets valence_medium AND eda_max_medium equals valence_medium,1.0,1.0,0.0714,2,1.0,1.0,0.0625,1,1.0,1.0,1.0,1.0,0.067,0.0625
eda_std_low equals hr_high AND eda_std_low meets eda_high AND hr_high meets eda_high => eda_std_low equals hr_high AND eda_std_low meets eda_high AND eda_std_low meets valence_medium AND hr_high meets eda_high AND hr_high meets valence_medium AND eda_high equals valence_medium,1.0,1.0,0.1071,3,1.0,1.0,0.0625,1,1.0,1.0,1.0,1.0,0.0848,0.0625
eda_medium meets arousal_medium AND eda_medium meets eda_max_low AND arousal_medium equals eda_max_low => eda_medium meets arousal_medium AND eda_medium meets eda_max_low AND eda_medium meets eda_std_low AND arousal_medium equals eda_max_low AND arousal_medium equals eda_std_low AND eda_max_low equals eda_std_low,1.0,1.0,0.1071,3,0.8,0.8,0.25,4,0.9,0.9,0.8,0.8,0.1786,0.1071
(eda_std_high) => eda_std_high starts valence_medium,0.9286,0.9286,0.9286,26,0.8125,0.8125,0.8125,13,0.8705,0.8705,0.8125,0.8125,0.8705,0.8125
eda_medium meets arousal_low => eda_medium meets arousal_low AND eda_medium meets eda_medium AND arousal_low equals eda_medium,0.7273,0.8485,0.2857,8,1.0,1.0,0.0625,1,0.8636,0.9242,0.7273,0.8485,0.1741,0.0625
valence_medium meets arousal_high AND valence_medium meets eda_high AND arousal_high equals eda_high => valence_medium meets arousal_high AND valence_medium meets eda_high AND valence_medium meets eda_max_high AND arousal_high equals eda_high AND arousal_high equals eda_max_high AND eda_high equals eda_max_high,0.6667,0.6667,0.0714,2,1.0,1.0,0.125,2,0.8333,0.8333,0.6667,0.6667,0.0982,0.0714
hr_medium meets eda_max_low AND hr_medium meets eda_std_medium AND eda_max_low equals eda_std_medium => hr_medium meets eda_max_low AND hr_medium meets eda_std_medium AND hr_medium meets valence_medium AND eda_max_low equals eda_std_medium AND eda_max_low starts valence_medium AND eda_std_medium starts valence_medium,1.0,1.0,0.0714,2,0.6667,0.6667,0.125,2,0.8333,0.8333,0.6667,0.6667,0.0982,0.0714
eda_std_low meets eda_high AND eda_std_low meets hr_medium AND eda_high equals hr_medium => eda_std_low meets eda_high AND eda_std_low meets hr_medium AND eda_std_low meets valence_medium AND eda_high equals hr_medium AND eda_high equals valence_medium AND hr_medium equals valence_medium,0.6667,0.6667,0.0714,2,1.0,1.0,0.0625,1,0.8333,0.8333,0.6667,0.6667,0.067,0.0625
